strain,mean in vivo yield,stdev in vivo yield,pFBA yield (old model),maximum yield (old model),minimum yield (old model),pFBA yield (new model),maximum yield (new model),minimum yield (new model)
AVM003,1.07232,0.008758,0,3.918495493,0,0,2.94861624,0
AVM008,1.12708,0.05531,0,3.910658836,0,0,2.847525706,0
AVM051,1.06435,0.00663,0,3.92265459,0,0,3.002267344,0
AVM052,0.95601,0.001178,0,3.933089555,0,0,3.136875275,0
AVM053,1.03101,0.025425,0,3.924934167,0,0,3.031673205,0
AVM056,1.01471,0.009886,0,3.923521355,0,1.225220463,3.013448354,1.023860486
AVM059,1.07343,0.015122,0.001114939,3.905826353,0.001062717,0,2.78518812,0
AVM060,1.10221,0.066558,0.002826096,0.000731847,0.000731847,0,3.163411935,0
AVM061,0.96321,0.027293,0.002510173,3.935600881,0.000726722,0.352589453,3.169270626,0.134170909
LL1004,1.10482,0.068369,0,3.90272954,0,0.574679429,2.745240163,0
