strain,mean in vivo yield,stdev in vivo yield,pFBA yield (old model),maximum yield (old model),minimum yield (old model),pFBA yield (new model),maximum yield (new model),minimum yield (new model)
AVM003,0.74902,0.039667,3.914248039,3.914248039,0,2.893825344,2.893825344,0
AVM008,0.77221,0.060672,3.9012514,3.9012514,2.13771E-16,2.709746659,2.709746659,0
AVM051,0.89255,0.044414,3.918086881,3.918086881,0,2.943345261,2.943345261,0
AVM052,0.8148,0.07231,3.927292147,3.927292147,0,3.062090439,3.062090439,0
AVM053,0.94992,0.079599,3.920829775,3.920829775,0,2.978727777,2.978727777,1.04796E-17
AVM056,0.93805,0.029943,3.920787443,3.920787443,0,1.725088314,1.725088314,4.19183E-17
AVM059,0.97154,0.044697,3.897517061,3.897517061,0,2.707906779,2.707906779,0
AVM060,0.90584,0.064913,3.921330973,3.921330973,0,3.021648871,3.021648871,0
AVM061,0.90042,0.032526,3.930125187,3.930125187,0,2.754722908,2.754722908,2.09591E-17
LL1004,0.81067,0.043496,3.892235489,3.892235489,0,1.997270955,1.997270955,0
