strain,mean in vivo yield,stdev in vivo yield,pFBA yield (old model),maximum yield (old model),minimum yield (old model),pFBA yield (new model),maximum yield (new model),minimum yield (new model)
AVM003,0.35384,0.021409,0.013976472,3.927570892,0,0.021537865,4.093090438,0
AVM008,0.24595,0.049992,0.016094758,3.920606834,0,0,3.909761124,0
AVM051,0.28369,0.005992,0.01335079,3.93126688,0,0,4.052373077,0
AVM052,0.28417,0.005635,0.011850449,3.940539928,0,0.018261646,4.388495599,0
AVM053,0.2312,0.037311,0.012903733,3.933292629,0,0.019884765,4.158216148,0
AVM056,0.25284,0.009393,0.012910633,3.932037132,0,0,3.387606145,0
AVM059,0.26464,0.007084,0.123651915,3.916312441,0,0,3.712458692,0
AVM060,0.26005,0.064688,0,3.94236802,0,0.019049067,4.632394812,0
AVM061,0.15166,0.002363,0.015999921,3.942771622,0,0,3.901878461,0
LL1004,0.31535,0.020999,0.017564236,3.913560453,0,0,3.585899478,0
