strain,mean in vivo yield,stdev in vivo yield,pFBA yield (old model),maximum yield (old model),minimum yield (old model),pFBA yield (new model),maximum yield (new model),minimum yield (new model)
AVM003,0.01929,0.003251,0,0,0,0,1.673532969,0
AVM008,0.01613,0.004667,0,0,0,0,1.564122239,0
AVM051,0.01078,0.001791,0,0,0,0,1.618454474,0
AVM052,0.02417,0.001336,0,0,0,0,1.810233989,0
AVM053,0.01044,0.00316,0,0,0,0,1.695488948,0
AVM056,0.01054,0.000557,0,0,0,0,0.87230086,0
AVM059,0.00692,0.000901,0,0,0,0,1.386844211,0
AVM060,0.01501,0.006589,0,0,0,0,1.948479255,0
AVM061,0.01461,0.001506,0,0,0,0,1.338861897,0
LL1004,0.00982,0.002562,0,0,0,0,1.273103801,0
