strain,mean in vivo yield,stdev in vivo yield,pFBA yield (old model),maximum yield (old model),minimum yield (old model),pFBA yield (new model),maximum yield (new model),minimum yield (new model)
AVM003,0.1156,0.003518,0,3.918495493,0,0,2.54969664,0
AVM008,0.0869,0.005787,0,3.910658836,0,0,2.346183358,0
AVM051,0.10192,0.008977,0,3.92265459,0,0,2.427681712,0
AVM052,0.11499,0.001435,0,3.933089555,0,0,2.852019608,0
AVM053,0.13683,0.026162,0,3.924934167,0,0,2.57440607,0
AVM056,0.11087,0.002421,0,3.923521355,0,0,1.30845129,0
AVM059,0.08279,0.001894,0,3.90231721,0,0,2.080266316,0
AVM060,0.1198,0.004917,0,3.932730114,0,0,3.163411935,0
AVM061,0.09233,0.00193,0,3.93320121,0,0,2.008292846,0
LL1004,0.07259,0.004192,0,3.90272954,0,0,1.909655701,0
